S.No,Company,Job title,Job link,YoE,Match percentage,Matched Keywords count,Matched keywords,Matched locations
84,Rippling,"Senior Software Engineer Engineering Bangalore, India",https://ats.rippling.com/rippling/jobs/dbfc0a04-46ef-4851-9c63-322b915e9f55,6,40.77,4,"go, python, aws, mongodb","bangalore, india"
85,Rippling,"Senior Software Engineer - Compute Infrastructure Engineering Bangalore, India",https://ats.rippling.com/rippling/jobs/5eb71d73-c7ac-47da-b7c7-300d2413ced0,6,40.77,4,"go, python, aws, docker","bangalore, remote, india"
86,Rippling,"Senior Software Engineer-Travel Integrations Engineering Bangalore, India",https://ats.rippling.com/rippling/jobs/12c3ce59-7437-483e-8626-9177211b995a,6,40.77,4,"go, python, aws, mongodb","bangalore, remote, india"
87,Rippling,"Senior Software Engineer Engineering Bangalore, India",https://ats.rippling.com/rippling/jobs/e3f98eb9-ac29-4ee2-a5f0-735209535cd0,6,38.08,3,"go, python, mongodb","bangalore, remote, india"
88,Rippling,"Senior Software Engineer - Run Management Engineering Bangalore, India",https://ats.rippling.com/rippling/jobs/e8d14faa-fe6d-4462-a0cd-f34aad24c558,7,38.08,3,"go, python, mongodb","bangalore, remote, india"
89,Rippling,"Senior Software Engineer-Payments Engineering Bangalore, India",https://ats.rippling.com/rippling/jobs/c4472873-173b-49cb-8a43-9bddaca7274d,6,38.08,3,"go, python, mongodb","bangalore, remote, india"
90,Rippling,"Senior Software Engineer - Backend Engineering Bangalore, India",https://ats.rippling.com/rippling/jobs/1f49a603-7e5e-4e9a-ac80-c1ccb3cadbdb,6,35.38,2,"go, python","bangalore, remote, india"
91,Rippling,"Senior Software Engineer - Data Infrastructure Engineering Bangalore, India",https://ats.rippling.com/rippling/jobs/a9decb17-2b09-4b2b-ae01-62504e5831ac,6,35.38,2,"go, python","bangalore, remote, india"
92,Rippling,"Senior Software Engineer Engineering Bangalore, India",https://ats.rippling.com/rippling/jobs/9727b25c-d6e9-453b-89cc-8e2e7faedda6,7,32.69,1,go,"bangalore, remote, india"
93,Rippling,"Senior Software Engineer - HRIS Engineering Bangalore, India",https://ats.rippling.com/rippling/jobs/f41446f8-dc01-4690-acc1-7f2b05ea044c,5,32.69,1,go,"bangalore, remote, india"
94,Rippling,"Senior Software Engineer - PEO Engineering Bangalore, India",https://ats.rippling.com/rippling/jobs/7f0c379a-3414-4fb1-af1c-239569d0fe02,7,32.69,1,go,"bangalore, remote, india"
95,Shopify,Senior Software Engineer- Streaming Pipelines Remote - Americas,https://www.shopify.com/careers/senior-software-engineer-streaming-pipelines_425b18f4-af04-45cd-afc2-72520941c9d2,,5.38,2,"go, python",remote
96,SuperMoney by Flipkart,"Senior Software Engineer jobs 18,207 open jobs",https://www.linkedin.com/jobs/senior-software-engineer-jobs?trk=organization_guest-browse_jobs,,2.69,1,go,remote
97,SuperMoney by Flipkart,Senior Software Engineer jobs,https://www.linkedin.com/jobs/senior-software-engineer-jobs?trk=organization_guest_linkster_link,,2.69,1,go,remote
98,Tekion,"Senior Software Engineer Bangalore, India",https://job-boards.greenhouse.io/tekion/jobs/6682302003,5,51.54,8,"javascript, go, python, react, aws, sql, nosql, mongodb","bangalore, india"
99,Tekion,"Senior Software Engineer (MLP) Bangalore, India",https://job-boards.greenhouse.io/tekion/jobs/6924794003,5,48.85,7,"go, python, graphql, aws, kafka, docker, grpc","bangalore, india"
100,Tekion,"Senior Software Engineer Bangalore, India",https://job-boards.greenhouse.io/tekion/jobs/6509644003,3,43.46,5,"go, aws, kafka, sql, nosql","bangalore, india"
101,ThoughtWorks,Senior Software Developer,https://www.thoughtworks.com/en-in/careers/jobs/7167963,6,67.69,14,"javascript, go, python, node.js, react, aws, sql, postgresql, nosql, mongodb, object-oriented programming, docker, vue.js, redis",india
102,ThoughtWorks,Senior Software Engineer | Vaga Afirmativa pessoa com Deficiência,https://www.thoughtworks.com/en-in/careers/jobs/7329015,30,46.15,6,"javascript, typescript, go, aws, object-oriented programming, docker",india
103,ThoughtWorks,Senior Software Developer,https://www.thoughtworks.com/en-in/careers/jobs/7423743,30,46.15,6,"javascript, go, python, aws, object-oriented programming, docker",india
104,ThoughtWorks,Senior Software Developer (React Native),https://www.thoughtworks.com/en-in/careers/jobs/7423750,30,46.15,6,"javascript, go, react, aws, object-oriented programming, docker",india
105,ThoughtWorks,Senior Fullstack Developer (Java),https://www.thoughtworks.com/en-in/careers/jobs/7253779,30,43.46,5,"javascript, go, aws, object-oriented programming, docker",india
106,Walmart,"Senior, Software Engineer",https://careers.walmart.com/us/jobs/WD2263435-senior-software-engineer,5,51.54,8,"javascript, go, python, react, aws, kafka, sql, docker",india
107,Walmart,"Senior, Software Engineer",https://careers.walmart.com/us/jobs/WD2258152-senior-software-engineer,5,51.54,8,"javascript, go, python, react, aws, kafka, sql, docker",india
108,Walmart,"Senior, Software Engineer",https://careers.walmart.com/us/jobs/WD2263009-senior-software-engineer,7,43.46,5,"go, python, node.js, aws, sql",india
109,Walmart,"Senior, Software Engineer- Java",https://careers.walmart.com/us/jobs/WD2264293-senior-software-engineer-java,5,38.08,3,"go, graphql, aws","remote, india"
110,Walmart,"Senior, Software Engineer – Transactional Systems",https://careers.walmart.com/us/jobs/WD2262086-senior-software-engineer-transactional-systems,7,35.38,2,"go, aws",india
111,Zeta,Epsilon Full-time Senior Software Development Engineer Bangalore,https://www.zeta.tech/in/careers/job-description/?2bb0e001-5cdb-4410-bfce-9774cd999816,5,43.46,5,"go, graphql, aws, object oriented programming, docker",bangalore
112,Zeta,Epsilon Full-time Senior Software Development Engineer _Backend Bangalore,https://www.zeta.tech/in/careers/job-description/?7a5ce04f-10c7-40b6-bf7d-e38c7b8749fa,5,40.77,4,"go, sql, postgresql, object oriented programming",bangalore
